Title,Arranger,Voicing
Back In Business (from Dick Tracy),David Wright,TTBB
Bananaphone,Kohl Kitzmiller,TTBB
Barbershop In History Medley,Brent Graham,TTBB
Bare Necessities,Clay Hine,TTBB
Bare Necessities,Tom Gentry,TTBB
Basin Street Blues,David Wright,TTBB
Be My Life's Companion,Kohl KItzmiller,TTBB
Be Our Guest,Greg Volk,TTBB
Be The Hero,Steve Tramack,TTBB
Before The Parade Passes By,Aaron Dale,TTBB
Bei Mir Bist Du Schon,Wayne Grimmer,TTBB
Best Of Me,Rasmus Krigström,TTBB
Between The Devil And The Deep Blue Sea,David Wright,TTBB
Between You And The Birds And The Bees And Cupid,Aaron Dale,TTBB
Bill Grogan's Goat,Clay Hine,TTBB
Birth Of The Blues,David Wright,TTBB
Black Eyed Susan Brown,Mel Knight,TTBB
Blame It On My Youth,Ed Waesche,TTBB
Blame It On The Boogie,Kohl Kitzmiller,TTBB
"Blow, Gabriel, Blow",Rasmus Krigström,TTBB
Blue Ain't Your Color,David Harrington,TTBB
Blue Moon Of Kentucky,Aaron Dale,TTBB
Blues In The Night,Dan Wessler,TTBB
Blues In The Night,Dave Briner,TTBB
Boogie Down Medley,Aaron Dale,TTBB
Booglie Wooglie Piggy,Cay Outerbridge,TTBB
Break It To Me Gently,Robert Rund,TTBB
Breaking Up Is Hard To Do,David Wright,TTBB
Bright Was The Night,David Wright,TTBB
Bring Me Sunshine,David Harrington,TTBB
Bring Me Sunshine,Matt Astle,TTBB
"Brother, Can You Spare A Dime?",Steve Armstrong,TTBB
Brothers Love Song,Steve Delehanty,TTBB
Build Me Up Buttercup,Rob Hopkins,TTBB
Burnin' The Roadhouse Down,Aaron Dale,TTBB
Butter Outta Cream,Dan Wessler,TTBB
Bye Bye Blues,"SPEBSQSA, Inc.",TTBB
Calendar Girl,Tom Gentry,TTBB
California Here I Come,David Wright,TTBB
Carolina Medley,Jay Giallombardo,TTBB
Carrying The Banner (from Newsies),Adam Bock,TTBB
Change Is Gonna Come,Patrick McAlexander,TTBB
Chaplin Medley,David Wright,TTBB
Charlie On The MTA,Joey Constantine,TTBB
Chattanoogie Shoe Shine Boy,Jeremey Johnson,TTBB
"Cheer Up, Charlie",Jim Henry,TTBB
Childhood (from Free Willy 2),Kevin Keller,TTBB
Come Dance With Me,Patrick McAlexander,TTBB
Come Fly With Me,Kevin Keller,TTBB
Come Follow The Band,Steve Tramack,TTBB
Come Rain Or Come Shine,Adam Reimnitz,TTBB
Come Rain Or Come Shine,Clay Hine,TTBB
Come What May (from Moulin Rouge!),Kevin Keller,TTBB
Coney Island Washboard Roundelay,Clay Hine,TTBB
Corner Of The Sky (from Pippin),Patrick McAlexander,TTBB
Could 'Ja?,Wayne Grimmer,TTBB
Cry Me A River,Brent Graham,TTBB
Crying My Heart Out For You,Kevin Keller,TTBB
Daisy/Summer Time (Medley),Jay Giallombardo,TTBB
Dance With My Father,Theo Hicks,TTBB
Danny Boy,Ed Waesche,TTBB
Danny Boy,Jim Clancy,TTBB
Day By Day (from Day By Day),John Brockman,TTBB
"Day In, Day Out",Rasmus Krigström,TTBB
Death Of A Bachelor,David Harrington,TTBB
'Deed I Do,Aaron Dale,TTBB
Desperado,Tom Gentry,TTBB
Destination Moon,Mike Louque and Sam Dabrusin,TTBB
Destination Moon,Sam Dobrusin/Richmond/Wong,TTBB
Devil May Care,Rasmus Krigström,TTBB
Dinah,David Wright,TTBB
Do I Love You?,Brent Graham,TTBB
Do You Know The Muffin Man?,Adam Scott,TTBB
"Don't Be A Baby, Baby",Aaron Dale,TTBB
Don't Know Why,Alex Morris,TTBB
Don't Like Goodbyes (from House Of Flowers),Matt Parks,TTBB
Don't Rain On My Parade,David Wright,TTBB
Don't Rain On My Parade,Patrick McAlexander,TTBB
Don't You Worry 'Bout A Thing,Jackson Pinder,TTBB
Dreams Of Gold/Down To The Sea,Rasmus Krigström,TTBB
Drivin' Me Crazy,Bob Disney,TTBB
Drown In My Own Tears,Mark Hale,TTBB
Eight Days A Week,David Harrington,TTBB
Embraceable You,Ed Waesche,TTBB
Enjoy The Ride,Kirk Young,TTBB
Epic Knight Medley,Various,TTBB
Evermore (from Beauty And The Beast),Kevin Keller,TTBB
Evermore (from Beauty And The Beast),Rasmus Krigström,TTBB
Evermore (from Beauty And The Beast),Theo Hicks,TTBB
Every Breath You Take,Aaron Dale,TTBB
Every Time We Say Goodbye,Rob Hopkins,TTBB
Everybody Loves Somebody,Kevin Keller,TTBB
Everybody Wants To Be A Cat (from The Aristocats),Jason Dyer,TTBB
Everything's Coming Up Roses,David Wright,TTBB
Evolution Of Dance Medley,Clay Hine,TTBB
F Sharp,Wayne Grimmer,TTBB
Fascinating Rhythm,Jay Giallombardo,TTBB
Feelin' Good,John Brockman,TTBB
Fire Away,Jackson Pinder,TTBB
Fit As A Fiddle,David Wright,TTBB
"Five Foot Two, Eyes Of Blue",Clay Hine,TTBB
"Five Foot Two, Eyes Of Blue",Joe Liles,TTBB
Five Minutes More,Patrick McAlexander,TTBB
Fly Me To The Moon,Kohl Kitzmiller,TTBB
For All We Know,Rob Hopkins,TTBB
For Good (from Wicked),Steve Tramack,TTBB
For Once In My Life,Adam Reimnitz,TTBB
Forgive Me,Earl Moon,TTBB
Fortune In Dreams,Clay Hine,TTBB
Frankie and Johnny,"Warren ""Buzz"" Haeger",TTBB
French Revolution Medley,Al Baker,TTBB
Frim Fram Sauce,Aaron Dale,TTBB
From Now On/Come Alive (from The Greatest Showman),Aaron Dale,TTBB
From The First Hello (To The Last Goodbye),Lou Perry,TTBB
Funk Medley – Uptown Funk,Aaron Dale,TTBB
Funny (But I Still Love You),Michael Webber,TTBB
Gaston (from Beauty And The Beast)(Parody),Anthony Bartholomew,TTBB
"Gee, I'm Glad It's Rainin'",Jeremey Johnson,TTBB
Gentle Annie,Adam Reimnitz,TTBB
Georgia May,Aaron Dale,TTBB
Georgia On My Mind,David Harrington,TTBB
Get Me To The Church On Time,Gary Lewis,TTBB
Get Your Happy Days On Medley,Aaron Dale,TTBB
Give Me A Barbershop Song,Steve Hall,TTBB
Gold Can Turn To Sand,Patrick McAlexander,TTBB
Gone Too Soon,Theo Hicks,TTBB
Gonna Build A Mountain,Jay Giallombardo,TTBB
Good Enough For Now,Rob Hopkins,TTBB
Good Times Medley,Patrick McAlexander,TTBB
Goodbye Yellowbrick Road,Simon Arnott,TTBB
"Goodbye, My Coney Island Baby/We All Fall (Medley)",SPEBSQSA,TTBB
"Goodbye, My Lady Love",Kevin Keller,TTBB
Grow Old With Me,Andrew Carolan,TTBB
Guilty,Scott Kitzmiller,TTBB
"Hallelujah, I Love Her So",Aaron Dale,TTBB
"Hallelujah, I Love Her So",Jay Giallombardo,TTBB
"Hallelujah, I Love Her So",Kohl KItzmiller,TTBB
Hand In Hand,Matt Astle,TTBB
Happy Go Lucky Lane,Jay Giallombardo/Greg Volk,TTBB
Happy/Sad,Adam Reimnitz,TTBB
Hard Hearted Hannah,Clay Hine,TTBB
Hard Times (No One Knows Better Than I),Theo Hicks,TTBB
"Hard Times, Come Again No More",David Wright,TTBB
Hard To Say I'm Sorry (from Summer Lovers),David Mastrull,TTBB
Have You Met Miss Jones?,Rasmus Krigström,TTBB
Haven't Met You Yet,Steve Tramack,TTBB
"He Ain't Heavy, He's My Brother",Jay Giallombardo,TTBB
Heartache Tonight,Rasmus Krigström,TTBB
Heaven Medley (Cheek To Cheek/My Blue Heaven),John Brockman,TTBB
Hello Mary Lou,David Wright,TTBB
Hello My Baby,David Harrington,TTBB
Hello My Baby,Kevin Keller,TTBB
Hero,Kyle Kitzmiller,TTBB
Hey Good Lookin',Tom Gentry,TTBB
Hit Me With A Hot Note,Patrick McAlexander,TTBB
Home (from Beauty And The Beast),Cay Outerbridge,TTBB
Honey Medley,David Harrington,TTBB
Honeysuckle Rose,David Wright,TTBB
Hooray For Love,Alan Gordon,TTBB
How About You?,Patrick McAlexander,TTBB
How Could I Ever Know? (from The Secret Garden),Matt Gallagher,TTBB
How Could I Ever Know? (from The Secret Garden),Theo Hicks,TTBB
How Could You Believe Me ?/It's A Sin To Tell A Lie (Medley),Renee Craig,TTBB
How Deep Is The Ocean (How High Is The Sky) (Parody),Ed Waesche,TTBB
How Deep is Your Love?,Aaron Dale,TTBB
How Far I'll Go (from Moana)(Parody),Ira Allen (tag)/Matt Astle,TTBB
How It Ends (from Big Fish),Kevin Keller,TTBB
How Lucky You Are (from Seussical),Dan Wessler,TTBB
I Can See Clearly Now,Steve Armstrong,TTBB
I Can't Give You Anything But Love,Clay Hine,TTBB
I Can't Give You Anything But Love,David Harrington,TTBB
I Could Have Danced All Night,Brent Graham,TTBB
I Don't Know Enough About You,Chris Arnold,TTBB
I Don't Know How To Say Goodbye,Theo Hicks,TTBB
I Don't Remember Her Name,Paul Olguin,TTBB
I Don't Want To Miss A Thing (from Armageddon),Dan Wessler,TTBB
I Finally Found Someone,Steve Tramack,TTBB
I Found A Million Dollar Baby,Rob Hopkins,TTBB
I Get A Kick Out Of You,Adam Bock,TTBB
I Get Along Without You Very Well (Except Sometimes),Adam Reimnitz,TTBB
I Got Lucky,Aaron Dale,TTBB
I Got Rhythm,David Wright,TTBB
I Have Dreamed,David Wright,TTBB
I Have Nothing (from The Bodyguard),Theo Hicks,TTBB
I Know Where I've Been,Theo Hicks,TTBB
I Love Being Here With You,Aaron Dale,TTBB
I Love That We're Old Fashioned,Kevin Keller,TTBB
I Love To Singa,Patrick McAlexander,TTBB
I Miss Mother Most Of All,Joe Liles,TTBB
I See The Light,Kevin Keller,TTBB
I Thought She Knew,Theo Hicks,TTBB
I Told Them All About You/You Dear (Medley),The Four Harmonizers,TTBB
I Used To Be Color Blind,Adam Reimnitz,TTBB
"I Want You, I Need You, I Love You",Aaron Dale,TTBB
I Was Doing Alright,Joel Guyer,TTBB
I Won't Dance,Liz Garnett,TTBB
I Won't Send Roses (from Mack And Mabel),Theo Hicks,TTBB
I Write The Songs,Steve Tramack,TTBB
I’ll Drown In My Own Tears,Mark Hale,TTBB
I’ve Got A Dream,Darin Drown,TTBB
If Ever I Would Leave You,Clay Hine,TTBB
If I Can Dream,Aaron Dale,TTBB
If I Can Dream,Steve Armstrong,TTBB
If I Didn't Care,Brent Graham,TTBB
If I Ever Say I'm Over You (from It's Only Life),Brent Graham,TTBB
If I Give My Heart To You,Jim Clancy,TTBB
If I Had My Way,David Harrington,TTBB
If I Knew,Jackson Pinder,TTBB
If I Love Again,Katie Farrell,TTBB
If I Love Again,Rob Hopkins,TTBB
If I Loved You (from Carousel),Jay Giallombardo,TTBB
If I Loved You (from Carousel),Rasmus Krigström,TTBB
If I May,Patrick McAlexander,TTBB
If I Only Had A Brain,Clay Hine,TTBB
If I Ruled The World,Ed Waesche,TTBB
If I Ruled The World,Jim Clancy,TTBB
If I Were A Bell (from Guys And Dolls),Aaron Dale,TTBB
If My Friends Could See Me Now Medley,Patrick McAlexander,TTBB
If My Nose Was Running Money (I'd Blow It All On You),Steve Delehanty,TTBB
If The Devil Danced (In Empty Pockets),Michael Webber,TTBB
If You Go Away (Ne Me Quitte Pas),David Wright,TTBB
"If You Love Me, Really Love Me",David Wright,TTBB
I'll Be Here (from The Wild Party),Justin Miller,TTBB
I'll Be Seeing You,Rob Hopkins,TTBB
I'll Be Seeing You,Rob Hopkins/Eric Jackson,TTBB
I'll Be With You In Apple Blossom Time,Clay Hine,TTBB
I'll Make Love To You,Wayne Grimmer,TTBB
I'll Take You Dreaming,Clay Hine,TTBB
I'm Havin' A Ball (from Dirty Grandpa),Cay Outerbridge,TTBB
I'm Into Something Good,John Fortino,TTBB
I'm Just A Lucky So And So,Joel Guyer,TTBB
I'm Looking Over A Four Leaf Clover,Ed Waesche,TTBB
I'm Putting All My Eggs In One Basket,Aaron Dale,TTBB
I'm Putting All My Eggs In One Basket,Patrick McAlexander,TTBB
Imagine That,Mike Tipton,TTBB
In A Little Red Barn (On A Farm Down In Indiana),Joel Guyer,TTBB
In His Eyes,Greg Volk,TTBB
In My Daughter's Eyes,Clay Hine,TTBB
"In The Cool, Cool, Cool Of The Evening",Kohl KItzmiller,TTBB
In The Wee Small Hours Of The Morning,Jimbob Kahlke,TTBB
Into The Fire,Steve Tramack,TTBB
Is This Just Another Song?,Bob Disney,TTBB
Is You Is Or Is You Ain't (Ma Baby)?,Greg Volk,TTBB
It Feels Good When You Sing a Song,Jackson Pinder,TTBB
It Happened In Monterey,John Brockman,TTBB
"It Only Takes A Moment (from Hello, Dolly!)",David Wright,TTBB
It Only Took a Kiss,Adam Bock,TTBB
It Sucks To Be Me (from Avenue Q)(Parody),Kohl Kitzmiller,TTBB
It’s Party Time,Jackson Pinder,TTBB
It's A Lovely Day Today (from Call Me Madam),Kohl Kitzmiller,TTBB
It's A Most Unusual Day,Joel Guyer,TTBB
It's A Pity To Say Goodnight,Rasmus Krigström,TTBB
It's A Wonderful World,Joel Guyer,TTBB
It's All Right With Me,Aaron Dale,TTBB
It's Hairspray,Rasmus Krigström,TTBB
It's No Secret Any More,Adam Scott,TTBB
It's Not Where You Start (It's Where You Finish),Theo Hicks,TTBB
It's Only A Paper Moon,Clay Hine,TTBB
It's Today (from Mame),Bryan Ziegler,TTBB
It's You (from The Music Man),Robert Rund,TTBB
It's You I Like,Cay Outerbridge,TTBB
I've Been Workin' On The Railroad,Roger Payne,TTBB
I've Got No Strings,Jackson Pinder,TTBB
I've Got No Strings,Jeremey Johnson,TTBB
I've Got The World On A String,Kohl Kitzmiller,TTBB
I've Got You Under My Skin,Wayne Grimmer,TTBB
Jackson 5 Medley,Aaron Dale,TTBB
Java Jive,Ed Waesche,TTBB
Jeanie With The Light Brown Hair,Ed Waesche,TTBB
Jeepers Creepers/I'm In Love Again,Erik Eliason,TTBB
Just the Way You Are,Chip Davis/David Harrington,TTBB
King Of New York (from Newsies),Josh Ehrlich/Larry Bomback,TTBB
Kissing A Fool,Kyle Kitzmiller,TTBB
Knighthood Medley,Roger Payne/Steve Tramack,TTBB
Last Night On The Back Porch,The Gaynotes,TTBB
Lately,Ben McDaniel,TTBB
Lately,Matt Gallagher,TTBB
Lazy River,Clay Hine,TTBB
Lazybones,David Wright,TTBB
Learnin' The Blues,Patrick McAlexander,TTBB
Let It Go (from Frozen) (Parody),Mac Huff,TTBB
Let's Burn Up The Town,Adam Reimnitz,TTBB
Let's Call The Whole Thing Off Medley,Clay Hine,TTBB
Let's Do It (Let's Fall In Love),Chris Arnold,TTBB
Let's Do It (Let's Fall In Love),John Brockman,TTBB
Let's Face The Music And Dance (from Follow The Fleet),Wayne Grimmer,TTBB
Let's Just Stay In,Kevin Keller,TTBB
Let's Live It Up,Aaron Dale,TTBB
Let's Start Tomorrow Tonight,Theo Hicks,TTBB
Liar Medley,Renee Craig,TTBB
Life's A Happy Song,Aaron Dale,TTBB
Like I'm Gonna Lose You,Matt Astle,TTBB
Listen (from Dreamgirls),Theo Hicks,TTBB
Little Girl,Mac Huff,TTBB
Little Pal,Clay Hine,TTBB
Little Pal (Parody),Clay Hine,TTBB
Lose That Long Face,Kevin Keller,TTBB
Losing My Mind (from Follies),Theo Hicks,TTBB
Lost In The Stars,Tom Gentry,TTBB
L-O-V-E,Ben Ferguson,TTBB
Love Is A Many-Splendored Thing,Jay Giallombardo,TTBB
Love Letters,John Piercy,TTBB
Love Me Tender,Johan Wikström,TTBB
"Love Me, And The World Is Mine",David Wright,TTBB
"Love Medley (I Have A Love/One Hand, One Heart)",Kirk Young,TTBB
Love Story,Theo Hicks,TTBB
Love Walked In,David Wright,TTBB
Love You Madly,Patrick McAlexander,TTBB
Lovin' Life,Adam Bock,TTBB
Luckiest,Rob Hopkins,TTBB
Lullaby Of Birdland,Steve Tramack,TTBB
"Ma, She's Making Eyes At Me",Mo Rector,TTBB
Mad Scientist Idol,Steve Armstrong,TTBB
Make 'Em Laugh,Clay Hine,TTBB
Make Them Hear You (from Ragtime),Theo Hicks,TTBB
Make You Feel My Love,Aaron Dale,TTBB
Mama Says,Bryan Ziegler,TTBB
Mango Tree,Eric Ruthenberg,TTBB
Many Tears Ago,Michael Webber,TTBB
Marching Along With Time,David Wright,TTBB
Margie,Clay Hine,TTBB
May I Never Love Again,Renee Craig,TTBB
Mean To Me,David Wright,TTBB
Meet Me In Rosetime Rosie,Ed Waesche,TTBB
Memories Of A Song In My Heart,Bob Disney,TTBB
Midnight Rose,Ed Waesche,TTBB
Mistakes,Roy Keys,TTBB
Mistakes (Parody),Roy Keys,TTBB
"Mister, You've Gone And Got The Blues",Tony Nasto,TTBB
Mobile,David Wright,TTBB
Mona Lisa,Greg Volk,TTBB
Moonlight Becomes You,Scott Kitzmiller,TTBB
More Than You Know (from Great Day),Jason Dyer,TTBB
Mr. Success,John Brockman,TTBB
Mr. Tanner,Kevin Keller,TTBB
My Blushin' Rosie,Aaron Dale,TTBB
My Dear Old Irish Mammy,Doug Anderson/Larry Wright,TTBB
My Foolish Heart/I Fall In Love Too Easily,Adam Reimnitz,TTBB
My Heart Stood Still,Greg Volk,TTBB
My Honey's Lovin' Arms,Don Gray,TTBB
My Ideal,Mark Hale,TTBB
My Lady Loves To Dance,Bob Dowma,TTBB
My Melancholy Blues,Aaron Dale,TTBB
My Melancholy Blues,Luke Stevenson,TTBB
My One And Only Love,Clay Hine,TTBB
My Romance,Rich Hasty,TTBB
My Romance,Rob Campbell,TTBB
My Shiny Teeth And Me,Ben Lewin,TTBB
My Way,Clay Hine,TTBB
Naughty Angeline,Clay Hine,TTBB
Never Again,Steve Delehanty,TTBB
Never Give All The Heart (from Smash),Brent Graham,TTBB
Never Gonna Give You Up,Patrick McAlexander,TTBB
Never Never Land (from Peter Pan),Jay Giallombardo,TTBB
Never Never Land (from Peter Pan),Steve Tramack,TTBB
New Year Medley,Bryan Ziegler,TTBB
New York State Of Mind,Wayne Grimmer,TTBB
Next Time I Love,Larry Wright,TTBB
Nine People's Favorite Thing (Parody),Kohl Kitzmiller,TTBB
No Moon At All,Jason Dyer,TTBB
No Other Love,David Wright,TTBB
"No, No, Nora",Clay Hine,TTBB
Noah Animals Medley,Patrick McAlexander,TTBB
Noah Flood Medley,Patrick McAlexander,TTBB
Nobody But Me,Adam Bock,TTBB
Not While I'm Around (from Sweeney Todd),Steve Tramack,TTBB
Not While I'm Around (from Sweeney Todd),Theo Hicks,TTBB
Nothing Can Change This Love,Aaron Dale,TTBB
Nothing Can Change This love,Theo Hicks,TTBB
Nothing Can Change This Love,Wayne Grimmer,TTBB
O'Brien To Ryan To Goldberg,Steve Tramack,TTBB
Oh Lonesome Me,David Wright,TTBB
"Oh Suzanna, Dust Off That Old Pianna",Brian Mastrull,TTBB
Oh! Darling,David Harrington,TTBB
Oh! Look At Me Now,Aaron Dale,TTBB
"Oh, Lonesome Me",David Wright,TTBB
Old Devil Moon (from Finian's Rainbow),Aaron Dale,TTBB
Old Me Better,Clay Hine,TTBB
Old Piano Roll Blues,David Wright,TTBB
On A Wonderful Day Like Today,Aaron Dale,TTBB
On The Sunny Side Of The Street,Clay Hine,TTBB
Once Upon A Dream,Steve Tramack,TTBB
Once Upon A Time (from All American),Rob Campbell,TTBB
One Of These Things Is Not Like The Others,Wayne Grimmer,TTBB
Open Arms,Bryan Ziegler,TTBB
Out There (from The Hunchback Of Notre Dame),Steve Tramack,TTBB
Over The Rainbow,Ed Waesche,TTBB
Over The Rainbow,Jay Giallombardo,TTBB
P.S. I Love You,Adam Reimnitz,TTBB
Paralyzed,Brian Mastrull,TTBB
Pass Me The Jazz,Jeremey Johnson,TTBB
PD Medley,Clay Hine,TTBB
Perfect,Matt Astle,TTBB
Pirates Of The Barbary Coast,Roger Payne,TTBB
Please Send Me Someone To Love,Jackson Pinder,TTBB
Pop Songs Medley II,Clay Hine,TTBB
Pop Songs Medley III,Clay Hine,TTBB
Prince Ali (from Aladdin),Steve Tramack,TTBB
Proud Mary,Kohl Kitzmiller,TTBB
Proud Of Your Boy,David Wright,TTBB
Proud Of Your Boy,Patrick McAlexander,TTBB
Proud Of Your Boy,Steve Tramack,TTBB
Pure Imagination,Matt Gallagher,TTBB
Put On A Happy Face,Kevin Keller,TTBB
"Put Your Arms Around Me, Honey",Aaron Dale,TTBB
"Put Your Arms Around Me, Honey",Rob Hopkins,TTBB
Put Your Head On My Shoulder,Aaron Dale,TTBB
Razzle Dazzle,Clay Hine,TTBB
Reaching For The Moon,Robert Rund,TTBB
"Ready, Willing And Able (from Young At Heart)",Aaron Dale,TTBB
Recipe For Love,Ben Ferguson,TTBB
Red Hot Henry Brown,Kevin Keller,TTBB
Redhead,Jim Clancy/Ed Waesche,TTBB
Religious Medley,Will Baughman,TTBB
Remember Me (from Coco),Ken Potter,TTBB
Remember Me (from Coco),Nick Luna,TTBB
Retreat,Steve Tramack,TTBB
Reuben And Rachel (Parody),Adam Scott,TTBB
Rhythm Is Our Business,Patrick McAlexander,TTBB
Rhythm Is Our Business (Parody),Patrick McAlexander,TTBB
Rhythm Medley,Aaron Dale,TTBB
Ring-A-Ding Ding!,Anthony Bartholomew,TTBB
Rock It For Me,Aaron Dale,TTBB
Rock This Town,Aaron Dale,TTBB
Roses Of Picardy,Lou Perry,TTBB
"Rosie (from Bye, Bye, Birdie)",Patrick McAlexander,TTBB
Royal Garden Blues,Greg Volk,TTBB
Run Away With Me,Patrick McAlexander,TTBB
Same Old Saturday Night,Jim Halvorson,TTBB
Santa Fe (from Newsies),Chris Lewis,TTBB
Satan's Li'l Lamb,Kevin Keller,TTBB
Save The Bones For Henry Jones,Eric Ruthenberg,TTBB
Save The Last Dance For Me,Kohl Kitzmiller,TTBB
Save The Last Dance/Sway (Medley),Aaron Dale,TTBB
Saving All My Love For You,Wayne Grimmer,TTBB
Secondhand White Baby Grand,Theo Hicks,TTBB
Seeing For The Very First Time,David Wright,TTBB
Seize The Day (from Newsies),Theo Hicks,TTBB
Settle For Me (Parody),Patrick McAlexander,TTBB
Seventy-Six Trombones,Tom Gentry,TTBB
Sgt Pepper's Lonely Hearts Club Band,David Harrington,TTBB
Sgt Pepper's Lonely Hearts Club Band/With A Little Help From My Friends (Medley),David Harrington,TTBB
Shakin' The Blues Away (from Easter Parade),Cay Outerbridge,TTBB
Shakin' The Blues Away (from Easter Parade),Clay Hine,TTBB
Shaking The Blues Away,Cay Outerbridge,TTBB
She Used To Be Mine (from Waitress),Theo Hicks,TTBB
She's Always A Woman,Simon Rylander,TTBB
She's Got A Way,David Wright,TTBB
She's Out Of My Life,David Harrington,TTBB
She's Out Of My Life,Kevin Keller,TTBB
Shine,David Wright,TTBB
Shoe Shine Boy,Jeremey Johnson,TTBB
Show Me Where The Good Times Are,Gene Cokeroft/Dot Short,TTBB
Side By Side,Tom Gentry,TTBB
Since I Fell For You,Robert Rund,TTBB
Small Fry,David Wright,TTBB
Smile,Clay Hine,TTBB
Smile,Kevin Keller,TTBB
Smile,Tom Gentry,TTBB
Smile Medley,Clay Hine,TTBB
Smile Medley II,David Wright,TTBB
Smilin' Through,Lou Perry/Ed Waesche,TTBB
Smoke Gets In Your Eyes,Patrick McAlexander,TTBB
So In Love,David Wright,TTBB
So This Is Love,Gary Lewis,TTBB
"Softly, As I Leave You",Brent Graham,TTBB
Soliloquy,Jay Giallombardo,TTBB
Somebody Knows,David Wright,TTBB
Somebody Loves Me,Clay Hine,TTBB
Somebody Stole My Gal/Five Foot Two (Medley),Ed Waesche,TTBB
Somebody To Love,Patrick McAlexander,TTBB
Someone Like You (from Jekyll And Hyde),Steve Tramack,TTBB
Somethin' About Ya,Joe Liles,TTBB
Something Good,David Wright,TTBB
Songs Of Wonder,Matt Gallagher,TTBB
Sorry Seems To Be The Hardest Word,Jackson Pinder,TTBB
South Rampart Street Parade (Parody),David Wright,TTBB
Spend My Life With You,Kyle Kitzmiller,TTBB
Spider-Man Theme,Aaron Dale,TTBB
Spongebob Medley,Kohl Kitzmiller,TTBB
Stairway To Paradise,Dan Wessler,TTBB
Star Wars Medley,Patrick McAlexander,TTBB
Steal Away,Patrick McAlexander,TTBB
Stella By Starlight (from The Uninvited),Jeremey Johnson,TTBB
Stepping Out With A Star,Jackson Pinder,TTBB
Stormy Weather,Aaron Dale,TTBB
