Product Code/SKU,Product Name,Product Description,Arranger,Difficulty,Ensemble
213565,Down By the Riverside (SSAA) (arr. Gentry),"SSAA, for female voices | Arranged by Tom Gentry | Available in all territories ",Tom Gentry,1,SSAA
8612,Down By The Riverside (TTBB) (arr. Gentry),"TTBB, arranged by Tom Gentry | from the Harmony Explosion Series | Available for all territories",Thomas Gentry,1,
214383,Down In The Lane (TTBB) (arr. Szabo),"Formerly #69 | TTBB, arranged by Burt Szabo | With appreciation to Society Volunteer Brian Ayers for converting this publication from the original octavo format",Burt Szabo,2,
7198,Down In The Old Neighborhood (TTBB) (arr. Perry),"TTBB, arranged by Lou Perry | previously #198 | With appreciation to Society Volunteer Brian Ayers for updating this publication from the original octavo format",Lou Perry,2,
7013,Down on the Corner (arr. Lyne) (TTBB),"TTBB, for low voices | Arranged by Greg Lyne | With appreciation to Society Volunteer Brian Ayers for converting this publication from the original octavo format <div style=""font-size: 10px; color: #cccccc; line-break: anywhere; word-break: normal; overflow: hidden; white-space: nowrap; text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif; font-weight: 100;"">",Greg Lyne,2,
8522,Down Our Way (TTBB) (arr. Connett),TTBB | Arranged by Floyd Connett | from the Barbershop Classics Series | Available in US and Canada,Floyd Connett,1,TTBB
7236,Down the Trail to Home Sweet Home (TTBB),"TTBB, for low voices | Arranged by the Barbershop Harmony Society | With appreciation to Society Volunteer Brian Ayers for converting this publication from the original octavo format <div style=""font-size: 10px; color: #cccccc; line-break: anywhere; word-break: normal; overflow: hidden; white-space: nowrap; text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif; font-weight: 100;"">",Barbershop Harmony Society,2,
8804,Down Where The Swanee River Flows (TTBB) (arr. Autenreith),"Arranged by: Autenreith, Larry",Larry Autenreith,2,
213938,Dream a Little Dream of Me (SATB) (arr. Gentry),"SATB, for mixed voices | Arranged by Tom Gentry | Available in all territories ",Tom Gentry,2,SATB
213936,Dream a Little Dream of Me (SSAA) (arr. Gentry),"SSAA, for female voices | Arranged by Tom Gentry | Available in all territories ",Tom Gentry,2,SSAA
8617,Dream a Little Dream of Me (TTBB) (arr. Gentry),TTBB | Arranged by Tom Gentry | Available for all territories ,Thomas Gentry,2,
213189,Dream Lover (SATB) (arr. Kitzmiller),"SATB, for mixed voices | Arranged by Kohl Kitzmiller | Available in US and Canada ",Kohl Kitzmiller,2,SATB
213187,Dream Lover (SSAA) (arr. Kitzmiller),"SSAA, for female voices | Arranged by Kohl Kitzmiller | Available in US and Canada   ",Kohl Kitzmiller,2,SSAA
213185,Dream Lover (TTBB) (arr. Kitzmiller),TTBB | Arranged by Kohl Kitzmiller | Available in US and Canada   ,Kohl Kitzmiller,2,TTBB
214273,Dream Vacation (SSAA) (arr. Larry Triplett),"SSAA, arranged by Larry Triplett | as sung by Here Comes Treble! Chorus",Larry Triplett,2,
202223,Drivin' Me Crazy (TTBB) (arr. Disney),"TTBB, Original song by Robert ""Bob"" Disney | Available in all territories",Robert Disney,2,
7364,Each Time I Fall In Love (TTBB) (arr. Grundy),TTBB | Written and arranged by S.K. Grundy | Available for all territories ,S. K. Grundy,2,
7634,Early American Medley (TTBB),Arranged by: Unknown,,3,
7114,Easter Parade (TTBB) (arr. Waesche),TTBB | Arranged by Ed Waesche | featured in Irving Berlin's Easter Parade | Available in US and Canada,Ed Waesche,2,
212263,Easy Street (TTBB) (arr. Haeger),"TTBB | Arranged by Warren ""Buzz"" Haeger (formerly #201499) | Available in United States, Canada, United Kingdom, Europe, Hong Kong, People’s Republic of China, Taiwan, South Korea, Singapore, Thailand, Malaysia, Vietnam, Laos, Brunei, Burma, Cambodia, Indonesia, and the Philippines",Warren Buzz Haeger,2/3,TTBB
210727,Ebb Tide (arr. King) (SSAA),"SSAA, for female voices | Arranged by Fred King (formerly #204616) | as sung by the Oriole Four | Available in US and Canada",Fred King,1,
208566,Ebb Tide (arr. King) (TTBB),TTBB | Arranged by Fred King (formerly #202929) | as sung by the Oriole Four | Available in US and Canada,Fred King,1,
213447,Edelweiss (SATB) (arr. Campbell),"SATB, for mixed voices | Arrangement by Rob Campbell | from the musical The Sound of Music | Available in all territories ",Rob Campbell,2,SATB
213445,Edelweiss (SSAA) (arr. Campbell),"SSAA, for female voices | Arrangement by Rob Campbell | from the musical The Sound of Music | Available in all territories ",Rob Campbell,2,SSAA
210259,Edelweiss (TTBB) (arr. Campbell),TTBB | Arranged by Rob Campbell | from the musical The Sound of Music | Available for all territories ,Rob Campbell,2,
212252,Eleanor Rigby (TTBB) (arr. Nicholas),TTBB plus female solo | Arranged by Jon Nicholas (formerly #206400) | Available Worldwide (excluding Japan),Jon Nicholas,2,
212425,Elvis Medley (TTBB) (arr. Hohl),,John Hohl,4,
7292,Emaline (TTBB) (arr. Moon),"TTBB, arranged by Earl Moon | Available in US, Canada, and Australia",Earl Moon,4,
7704,Ever Since We Got That Water Bed (We've Been Slowly Drifting Apart) (TTBB) (arr. Perry),"TTBB, arranged by Lou Perry | Available for all territories | from the Barbershop Show Tunes Series",Louis Perry,1,
211662,Every Breath You Take (SSAA) (arr. Dale),"SSAA, for female voices | Arranged by Aaron Dale (formerly #",Aaron Dale,5,
211633,Every Breath You Take (TTBB) (arr. Dale),TTBB | Arranged by Aaron Dale (formerly #,Aaron Dale,5,
212237,Every Little Thing She Does Is Magic (TTBB) (arr. Scott),"TTBB | Arranged by Adam Scott (formerly #208578) | as sung by The Police | Available in US, CAN, UK, EUROPE, HONG KONG, PEOPLE'S REPUBLIC OF CHINA, TAIWA, SOUTH KOREA, SINGAPORE, THAILAND, MALAYSIA, VIETNAM, LAOS,BRUNEI, BURMA, CAMBODIA, INDONESIA, PHILIPPINES",Adam Scott,3,
8827,Everybody Loves a Lover (TTBB) (arr. Justus),TTBB | Arranged by Drayton Justus | Available in USA only,Drayton Justus,3,
209639,Everybody Wants To Go To Heaven (SSAA) (arr. Perry),"SSAA, for high voices | Written and arranged by Lou Perry | part of the Barbershop Show Tunes  series",Louis Perry,2,
7669,Everybody Wants To Go To Heaven (TTBB) (arr. Perry),TTBB | Written and arranged by Lou Perry | part of the Barbershop Show Tunes  series,Louis Perry,1,
7336,Everything In America Is Ragtime (TTBB) (arr. Hinman),Arranged by: Munson Hinman,Munson Hinman,2,
7214,Everything Is Peaches Down In Georgia (TTBB) (arr. Szabo),Arranged by: Burt Szabo,Burt Szabo,4,
7389,Everything Old Is New Again (TTBB) (arr. Waesche),"from the 1977 musical The Boy From Oz | TTBB, arranged by Ed Waesche | Part of the Barbershop Classics Series | Available in US and Canada  ",Ed Waesche,,
212407,Everything's Coming Up Roses (TTBB) (arr. Wright),TTBB | Arranged by David Wright (formerly # 201006) | from Gypsie | Available US and Canada,David Wright,5,
212292,Faith (SATB) (arr. Kitzmiller),"SATB, for mixed voices | Arranged by Kohl Kitzmiller | Print version | as sung by George Michael | Available in US and Canada A smash hit for pop idol George Michael, it was Billboard magazine’s number one single of the year in the United States in 1988. This arrangement features the familiar rhythmic backing and a vocal instrumental bridge and is available both in physical print and digital download for male, female, and mixed voicings! ",Kohl Kitzmiller,3,
212291,Faith (SSAA) (arr. Kitzmiller),"SSAA, for female voices | Arranged by Kohl Kitzmiller | Print version | as sung by George Michael | Available in US and Canada ",Kohl Kitzmiller,3,
212290,Faith (TTBB) (arr. Kitzmiller),TTBB | Arranged by Kohl Kitzmiller | Print version | as sung by George Michael | Available in US and Canada ,Kohl Kitzmiller,3,
211920,Fare Thee Well Love (TTBB) (arr. Wright),TTBB | Arranged by David Wright | Print version | Available in all territories ,David Wright,3,
203025,"FAVORITE SONGS Sing in the Barbershop Quartet, Volume 3","These great collections let men sing four-part a cappella harmony with a professionally recorded barbershop quartet. The books include TTBB parts and the CDs feature full performances. Just turn on the CD, open the book, pick your part, and sing along!<br /><br />Volume 3 songs include: Coney Island Baby/We All Fall &bull; He's Got the Whole World in His Hands &bull; Hey, Little Baby O' Mine &bull; In the Good Old Summertime &bull; The Star Spangled Banner &bull; Take Me Out to the Ball Game &bull; This Little Light of Mine/Do Lord &bull; Water Is Wide.    ",,,
7358,Feast of Lights Medley (TTBB) (arr. Lyne),"includes &ldquo;Oh Chanukah, Oh Chanuka,&rdquo; &ldquo;S’vivon,&rdquo;",Gregory Lyne,2,
200363,Feliz Navidad (TTBB) (arr. Briner & Gentry),MALE | Arranged by Dave Briner & Tom Gentry | Published Arrangement formerly #8635,Dave Briner and Tom Gentry,1,
210234,Fight Song (SSAA) (arr. Grimmer),"SSAA, for high voices | Arranged by Wayne Grimmer | Available in US and Canada ",Wayne Grimmer,4,
209915,Fight Song (TTBB) (arr. Grimmer),TTBB | Arranged by Wayne Grimmer | Available in US and Canada  ,Wayne Grimmer,4,
205534,Firefly (TTBB) (arr. BHS),TTBB | Arrangement by the Barbershop Harmony Society | US and Canada Orders Only *International customers may purchase a digital version of this arrangement through ,,2,
212679,"Five Foot Two, Eyes of Blue (Has Anybody Seen My Girl?) (TTBB) (arr. Liles)","TTBB, for low voices, arranged by Joe Liles  | Formerly Catalog No. 7129 | Available in US and Canada  ",Joe Liles,2,
7335,Floatin' Down To Cotton Town (TTBB) (arr. Campbell),Arranged by: Rob Campbell,Rob Campbell,4,
7126,For Me And My Gal (TTBB) (arr. SPEBSQSA),"TTBB, arranged by the Barbershop Harmony Society | from the Barbershop Songs for Men series",,1,
206616,"For Sale, One Broken Heart (TTBB) (arr. Hicks)","TTBB, arranged by ValHicks | Available in all territories | Available in printed form only (non-download)",Val Hicks,3,
209259,"Forever And Ever, Amen (TTBB) (arr. Keller)","TTBB, arranged by Kevin Keller | US and Canada orders Only | Learning Tracks - Product #209260",,3,
202810,Forgive Me (SSAA) (arr. Moon),"SSAA, for female voices | Arranged by Earl Moon | Available in USA only",Earl Moon,2,
7255,Forgive Me (TTBB) (arr. Moon),TTBB | Arranged by Earl Moon | Available in USA only,Earl Moon,2,
202773,Fortune In Dreams (SSAA) (arr. Knight/Moon),"SSAA, arranged by Mel Knight and Earl Moon | Part of the ""Barbershop Classics"" series | Available in US and Canada.",Earl Moon,2,
7366,Fortune In Dreams (TTBB) (arr.  Knight/Moon),"TTBB, arranged by Mel Knight and Earl Moon | Part of the ""Barbershop Classics"" series | Available in US and Canada.",Earl Moon,2,
7674,"Fortuosity (from Disney's ""The Happiest Millionaire"") (TTBB) (arr. Foris) ","TTBB, arranged by Russ Foris |  part of the Barbershop Show Tunes series ",Russ Foris,2,
8640,Freddie Feelgood (TTBB) (arr. Briner),"TTBB, arr. David Briner | Licensed for all territories ",Dave Briner,4,
212144,Friend Like Me (TTBB) (arr. Wright),TTBB | Arranged by David Wright (formerly #114321) | from Aladdin | Available Worldwide,David Wright,4/5,TTBB
8839,Frog Kissin' (TTBB) (arr. Jones),"TTBB, arr. Bob Jones ",Bob Jones,3,
213438,Frosty the Snowman (SATB) (arr. Campbell),"SATB, for mixed voices | arranged by Rob Campbell | Available in US, Canada, and Australia This charming Rob Campbell chart has been newly engraved and reissued with brand new premium learning tracks to help you learn this beloved holiday classic. A wonderful crowd pleasing uptune in any holiday show that audiences of all ages will love!",Rob Campbell,1,SATB
213436,Frosty the Snowman (SSAA) (arr. Campbell),"SSAA, for high voices | arranged by Rob Campbell | Available in US, Canada, and Australia This charming Rob Campbell chart has been newly engraved and reissued with brand new premium learning tracks to help you learn this beloved holiday classic. A wonderful crowd pleasing uptune in any holiday show that audiences of all ages will love!",Rob Campbell,1,SSAA
7697,Frosty the Snowman (TTBB) (arr. Campbell),TTBB | Arranged by Rob Campbell | Licensed for US and Canada ,Rob Campbell,1,
7664,Fun In Just One Lifetime (8-Part M/M) (arr. Liles),Double TTBB Quartet | Arranged by Joe Liles & Frank Marzocco | Available for all territories,Joe Liles,1,8-part M/M
212115,Galway Bay (TTBB) (arr. Driscoll),TTBB | Arranged by Dennis Driscoll (formerly #110728) | Available in US and Canada,Dennis Driscoll,1,TTBB
202624,Gay Nineties Medley (TTBB) (arr. Arberg),"Arranged by: Arberg, Bud",Bud Arberg,2,
7173,Gee But I Hate To Go Home Alone (TTBB) (arr. Driscoll),Arranged by: Dennis Driscoll,Dennis Driscoll,2,
211640,Georgia May (SSAA) (arr. Dale),"SSAA, for female voices | Arranged by Aaron Dale (formerly #206381) | as sung by Crossroads | Available in US and Canada",Aaron Dale,4,
212431,Georgia May (TTBB) (arr. Dale),TTBB | Arranged by Aaron Dale (formerly #202938) | as sung by Crossroads | Available in US and Canada,Aaron Dale,5,
213419,Georgia on My Mind (SATB) (arr. Jamison),"SATB, for mixed voices | Arrangement by Steve Jamison | Available in US, Canada, Puerto Rico, Asean Territory, Mexico, Central America, and South America. ",Steve Jamison,2,SATB
213417,Georgia on My Mind (SSAA) (arr. Jamison),"SSAA, for female voices | Arrangement by Steve Jamison | Available in US, Canada, Puerto Rico, Asean Territory, Mexico, Central America, and South America. ",Steve Jamison,2,SSAA
7322,Georgia On My Mind (TTBB) (arr. Jamison),"TTBB | Arranged by Steve Jamison | Available in US, Canada, Puerto Rico, Asean Territory, Mexico, Central America, and South America. ",Steve Jamison,2,
212232,Get a Job (TTBB) (arr. Nicholas),"TTBB | Arranged by Jon Nicholas (formerly #209851) | Available in USA, CAN, UK, EUROPE, HONG KONG, PEOPLE'S REPUBLIC OF CHINA, TAIWA, SOUTH KOREA, SINGAPORE, THAILAND, MALAYSIA, VIETNAM, LAOS,BRUNEI, BURMA, CAMBODIA, INDONESIA, PHILIPPINES",Jon Nicholas,1,TTBB
212495,Get Me to the Church on Time (TTBB) (arr. Gentry),"from My Fair Lady | TTBB | Arranged by Tom Gentry (formerly #113696) | Available in US, Canada, and Australia",Tom Gentry,3,
212302,Get Up and Go (TTBB) (arr. Keller),TTBB | Arranged by Kevin Keller | Print version | Available in all territories ,Kevin Keller,2,
7151,Girl Of My Dreams (TTBB) (arr. SPEBSQSA),"TTBB, arranged by the Barbershop Harmony Society | Available in US, Canada, and Australia",Inc. SPEBSQSA,2,
7508,"Girls, Girls (TTBB) (arr. Stevens)","Arranged by: Stevens, Dave",Dave Stevens,2,
8404,Give Me  a Night in June (TTBB) (arr.  Maurice Reagan & The Pittsburghers),"TTBB, arr. Maurice Reagan and the Pittsburghers | from the Archive Series | Available in US, Canada, and Australia",Maurice Reagan & The Pittsburghers,2,
7363,Give Me A Barbershop Song (TTBB) (arr. Hall),"TTBB, arranged by Steve Hall | Licensed for all territories",Steve Hall,2,
210442,Give Me a Basketball (TTBB) (arr. Olguin),"TTBB | Arranged by Paul Olguin | Available for all territories. Original tune by woodshedder extraordinaire, barbershop ambassador, and all around great guy, Paul Olguin. Clever and fun, this song is easy to learn and perfect for an impromptu halftime performance while watching the games with your friends. If you like basketball and love barbershop, this song is for you! ",Paul Olguin,3,
7651,Give Me A Girl (TTBB) (arr. Liles),Arranged by: Joe Liles,Joe Liles,1,
11597,Give Me That Barbershop Style (TTBB) (arr. Stevens),"Arranged by: Stevens, Dave",Dave Stevens,2,
7342,"Give Me The Moonlight, Give Me The Girl (TTBB) (arr. Driscoll)",Arranged by: Dennis Driscoll,Dennis Driscoll,3,
7640,"Give Me Your Tired, Your Poor (TTBB) (arr. SPEBSQSA)","TTBB, arr. SPEBSQSA | from the poem ""The New Colossus"" by Emma Lazarus |  Barbershop Show Tunes series | Available in US and Canada",,1,
8084,Give My Regards to Broadway (TTBB) (arr. Szabo),"TTBB, arranged by Burt Szabo",Burt Szabo,2,
211356,Go Rest High on That Mountain (SATB) (arr. Nicholas) ,"SATB, for mixed voices | Arranged by Jon Nicholas | as sung by Vince Gill ",Jon Nicholas,3,
211355,Go Rest High on That Mountain (SSAA) (arr. Nicholas),SSAA (for female voices) | Arranged by Jon Nicholas | as sung by Vince Gill ,Jon Nicholas,3,
210604,Go Rest High on That Mountain (TTBB) (arr. Nicholas) ,TTBB | Arranged by Jon Nicholas | as sung by Vince Gill  ,Jon Nicholas,3,
214233,Go Tell It On the Mountain (SATB + Soloists) - arr. Aaron Dale,"SATB for mixed voices (2 Soloists, Low and High Voice Choruses, and Low and High Voice Quartets | arranged by Aaron Dale | as sung by the Masters of Harmony & Harborlites Choruses",Aaron Dale,3,
211688,Go the Distance (SSAA) (arr. Dale),"SSAA, for female voices | Arranged by Aaron Dale (formerly #206430) | from Disney's animated film Hercules | Available in US and Canada",Aaron Dale,5,
211588,Go the Distance (TTBB) (arr. Dale),TTBB | Arranged by Aaron Dale (formerly #201535) | from Disney's animated film Hercules | Available in US and Canada,Aaron Dale,5,
213399,God Bless America (SATB) (arr. Lyne),"SATB, for mixed voices | Arranged by Greg Lyne | Available in US and Canada ",Gregory Lyne,2,SATB
204151,God Bless America (SSAA) (arr. Lyne),"SSAA, for female voices | Arranged by Gregory Lyne | Available in US and Canada only",Gregory Lyne,2,
204428,God Bless America (TTBB) (arr. Lyne),"TTBB | Arranged by Greg Lyne (replaces stock #7641) | Available in US and Canada | For Learning Tracks, see #11229",Gregory Lyne,2,
212073,God Bless America (TTBB) (arr. Nicholas),TTBB | Arranged by Jon Nicholas (formerly #205349) | Available in US and Canada,Jon Nicholas,2,
8838,God Bless the U.S.A. (TTBB) (arr. Beck) ,"TTBB, for low voices | Arranged by Brian Beck | as sung by the Side Street Ramblers | from the Gold Medal Series",Brian Beck,3,
211568,God Only Knows (6 part - TTTBBB) (arr. Wright),"TTTBBB, for 6-Part male voices | Arranged by David Wright (formerly #205649) | Available in US and Canada",David Wright,5,
8087,"Good Bye, My Lady Love (TTBB) (arr. Szabo)",Arranged by: Burt Szabo,Burt Szabo,4,
212287,Good Luck Charm (non-contest version) (TTBB) (arr. Dale),TTBB | Arranged by Aaron Dale (formerly #209590) | Non-contest version | Available in US and Canada,Aaron Dale,4,
212269,Good Luck Charm (SSAA) (arr. Dale),"SSAA, for female voices | Arranged by Aaron Dale (formerly #114295) | Print version | as sung by OC Times | Available in US and Canada *International customers may purchase a digital version of this arrangement through ",Aaron Dale,4,
212288,Good Luck Charm (TTBB) (arr. Dale),TTBB | Arranged by Aaron Dale (formerly #114276) | Print version | as sung by OC Times  | Available in US and Canada *International customers may purchase a digital version of this arrangement through www.sheetmusicplus.com,Aaron Dale,4,
201363,Good News Gospel Songbook 10,"Good News Gospel Songbook 10  ""The King and I""  Contains: I'm Feeling Fine Step Into Water Til The Storm Passes By God sits on High When GOD dips His Love In My Heart How Long Has It Been Still Feelin' Fine The King and I Yes, He Did Where No One Stands Alone I'm Bound For The Kingdom  ",,,
6080,Good News Gospel Songbook 5,"Good News Gospel Songbook 5 ""Oh, How He Cares"" Contains: No one ever cared for me like Jesus Turn Your Eyes Upon Jesus But For The Grace of GOD I Believe in MIracles His Eye Is on the Sparrow Some Children See Him Stand By Me How Great Thou Art Beautiful Savior",,,
201127,Good News Gospel Songbook 9,"Good News Gospel Songbook 9 ""Faith of Our Fathers""  Contains:  In This Very Room Faith of Our Fathers The First Baseball Game I Bowed on My Knees and Cried Holy An Old Convention Song Savior Again To Thy Dear Name We Raise Nobody Knows The Trouble I've Seen He's Gonna See You Through Holy GOD, we praise thy Name/All Glory, Laud and Honor  It wasn't rainin' when Noah Built the Ark  Crown Him WIth Many Crowns All Hall the Power of Jesus' Name",,,
212080,Good Vibrations (TTBB) (arr. Wright),TTBB | Arranged by David Wright (formerly #201572) | as sung by Vocal Spectrum | Available in US and Canada,David Wright,5,
7232,Good-Bye Boys (TTBB) (arr. Baird),Arranged by: Unknown,,3,
8104,Good-Bye Rose (TTBB) (arr. SPEBSQSA),"Arranged by: S.P.E.B.S.Q.S.A., Inc.",Inc. SPEBSQSA,2,
7137,Goodbye Means the End of My World (TTBB) (arr. Liles),Bourne TTBB |Arranged by: Joe Liles,Joe Liles,2,
7226,"Goodbye, Dixie, Goodbye (TTBB) (arr. SPEBSQSA)",Arranged by: Unknown,,3,
209193,"Goodbye, My Coney Island Baby/We All Fall (TTBB) (arr. SPEBSQSA)(Formerly #8601)","TTBB Published Arrangement by SPEBSQSA, Inc.  This item replaces #8601 as of September 3, 2014- it is the exact same arrangement - Updated catalog # only. US & Canada only.   ",BHS,1,
212697,"Goodbye, World, Goodbye (SSAA) (arr. Wright)","SSAA, for female voices | Arranged by David Wright (formerly #203432)  | Available in all territories ",David Wright,3,
212696,"Goodbye, World, Goodbye (TTBB) (arr. Wright)",TTBB | Arranged by David Wright (formerly #203431) | as sung by The Gas House Gang | Available in all territories ,David Wright,3,
7025,Goodnight Sweetheart (TTBB) (arr. Diekema),"A simple lullaby from yesteryear arranged by Willis Diekema | TTBB | Available in US, Canada, and Australia",Willis Diekema,2,
8620,"Goodnight, Ladies (from ""The Music Man"") (TTBB) (arr. SPEBSQSA)","TTBB, arranged by the Barbershop Harmony Society |",SPEBSQSA,1,
11585,"Goodnight, Little Boy Of Mine (TTBB) (arr. Hicks)",Arranged by: Val Hicks,Val Hicks,2,
6271,"Goodnight, My Someone (from ""The Music Man"") (TTBB) (arr. Grundy)",TTBB | Arranged by S.K. Grundy | from Meredith Willson's THE MUSIC MAN | Available in USA and Canada,S. K. Grundy,2,
212059,"Goodnight, Sweetheart, Goodnight (Goodnight, It's Time to Go) (TTBB) (arr. Comfort)","TTBB | Arranged by Webb Comfort (formerly #205346) | Available in all territories (excluding United Kingdom, Japan, Southeast Asia)",Webb Comfort,1,
213426,"Goodnight, Sweetheart, Goodnight (SATB) (arr. Knight)","SATB, for mixed voices | Arrangement by Melvin Knight | Available in US and Canada ",Melvin Knight,2,SATB
213424,"Goodnight, Sweetheart, Goodnight (SSAA) (arr. Knight)","SSAA, for female voices | Arrangement by Melvin Knight | Available in US and Canada ",Melvin Knight,2,SSAA
8613,"Goodnight, Sweetheart, Goodnight (TTBB) (arr. Knight)",TTBB | Arranged by Melvin Knight | Available in US and Canada only,Melvin Knight,2,
7377,Got My Thumb Out (TTBB) (arr. Liles),Arranged by: Joe Liles,Joe Liles,3,
212235,Graduation Day (SSAA) (arr. Gentry),"SSAA, for female voices | Arranged by Tom Gentry (formerly #113419) | Available Worldwide (excluding Japan)",Thomas Gentry,1,
212498,Graduation Day (TTBB) (arr. Gentry),TTBB | Arranged by Tom Gentry (formerly #113418) | Available Worldwide (excluding Japan),Thomas Gentry,1,
211623,Grandma Got Run Over by a Reindeer (TTBB) (arr. Nicholas),TTBB | Arranged by Jon Nicholas (formerly #208658) | Available Worldwide,Jon Nicholas,2,
8093,Grandmother's Love Letters (TTBB) (arr. Szabo),Arranged by: Burt Szabo,Burt Szabo,1,
208866,Grow Old with You (SSAA) (arr. Dale),"SSAA, for high voices | Arranged by Aaron Dale | Available in US and Canada (International Customers please order 208866DL) | This clever and charming song was featured in the film The Wedding Singer, starring Adam Sandler and Drew Barrymore. Aaron Dale’s arrangement is simple, easy to learn in just a few rehearsals, and was recorded by 2008 International Quartet Champion, O. C. Times on their Let’s Fly album. Fun to sing for any show, singing Valentine set, or any environment where general crooning may be appropriate! *Due to licensing restrictions, discounts are not available for this title*  ",Aaron Dale,2,
208863,Grow Old with You (TTBB) (arr. Dale),"TTBB, for low voices | Arranged by Aaron Dale | Print version | Available in US and Canada (International Customers please order 208863DL) | This clever and charming song was featured in the film The Wedding Singer, starring Adam Sandler and Drew Barrymore. Aaron Dale’s arrangement is simple, easy to learn in just a few rehearsals, and was recorded by 2008 International Quartet Champion, O. C. Times on their Let’s Fly album. Fun to sing for any show, singing Valentine set, or any environment where general crooning may be appropriate! *Due to licensing restrictions, discounts are not available for this title*  ",Aaron Dale,2,
212282,Guilty (TTBB) (arr. Kitzmiller),"TTBB | As sung by Instant Classic, arranged by Scott Kitzmiller | Available in US",Scott Kitzmiller,4,
209713,Hallelujah (Cohen) (SSAA) (arr. Scott) ,"SSAA, arranged by Adam Scott  ",Adam Scott,2,
208542,Hallelujah (Cohen) (TTBB) (arr. Scott) ,"TTBB, arranged by Adam Scott  ",Adam Scott,2,
213379,Hallelujah (SATB) (Cohen) (arr. Scott) ,"SATB,  arranged by Adam Scott  ",Adam Scott,2,SATB
211393,Hang on Little Tomato (SSAA) (arr. Ruthenberg),SSAA | Arranged by Eric Ruthenberg | as sung by Pink Martini | Available in US and Canada,Eric Ruthenberg,3,
210333,Hang on Little Tomato (TTBB) (arr. Ruthenberg),TTBB | Arranged by Eric Ruthenberg | as sung by Pink Martini | Available in US and Canada ,Eric Ruthenberg,3,
7663,"Hang On The Bell, Nellie (TTBB) (arr. SPEBSQSA)",Arranged by: Unknown,,2,
204893,Hanukkah Medley (SSAA) (arr. Arns),"Arranged by Jim Arns, adapted for SSAA voices by Dave Briner | part of the Barbershop Show Tunes series | includes the songs ""Rock of Ages,"" ""Shalom, Chavayrim,"" and ""Psalm 98"" ",Jim Arns,2,
7731,Hanukkah Medley (TTBB) (arr. Arns),"TTBB, arranged by Jim Arns | part of the Barbershop Show Tunes series | includes the songs ""Rock of Ages,"" ""Shalom, Chavayrim,"" and ""Psalm 98""   ",Jim Arns,2,
213414,"Happy (from ""Despicable Me 2"")(SATB) (arr. Scott)","SATB, for mixed voices | Arranged by Adam Scott | from the film Despicable Me 2  ",Adam Scott,3,SATB
208970,"Happy (from ""Despicable Me 2"")(SSAA) (arr. Scott) ","SSAA, for female voices | Arranged by Adam Scott | from the film Despicable Me 2 ",Adam Scott,3,
208848,"Happy (from ""Despicable Me 2"")(TTBB) (arr. Scott) ",TTBB | Arranged by Adam Scott | from the film Despicable Me 2  ,Adam Scott,3,
212153,Happy Days (TTBB) (arr. Matisoff & Redgate),"TTBB | Arranged by Joshua Matisoff and Joseph Redgate (formerly #110865) | Theme from the Paramount Television Series Happy Days | Available Worldwide excluding Japan, South Korea, and Taiwan",Joshua Matisoff and Joseph Redgate,1/2,TTBB
212007,Happy Holiday/The Holiday Season (SATB) (arr. Scott),"SATB, for mixed voices | Arranged by Adam Scott | Available in US and Canada A fun, swingin’ chart for your holiday show, Adam Scott delivers a crowd-pleasing arrangement based on the original Andy Williams recording that paired these two holiday favorites together. Accessible for almost any level ensemble, this chart works great as a show opener or closer.",Adam Scott,3,
212006,Happy Holiday/The Holiday Season (SSAA) (arr. Scott),"for SSAA/female voices | Arranged by Adam Scott (formerly #208653) | Available in US and Canada A fun, swingin’ chart for your holiday show, Adam Scott delivers a crowd-pleasing arrangement based on the original Andy Williams recording that paired these two holiday favorites together. Accessible for almost any level ensemble, this chart works great as a show opener or closer.",Adam Scott,3,
212005,Happy Holiday/The Holiday Season (TTBB) (arr. Scott),TTBB | Arranged by Adam Scott | Available in US and Canada ,Adam Scott,3,
209970,Happy Together (SATB) (arr. Garnett),"SATB, for mixed voices | Arranged by Liz Garnett | Available in US and Canada ",Liz Garnett,2,
204800,Happy Together (SSAA) (arr. Garnett),"SSAA, for female voices | Arranged by Liz Garnett | Available in US and Canada ",Liz Garnett,2,
211544,Happy Together (SSAA) (arr. Wright),"SSAA, for female voices | Arranged by David Wright (formerly #113440) | based on the rendition of The Nylons | Available in US and Canada",David Wright,4,
8639,Happy Together (TTBB) (arr. Garnett),TTBB | Arranged by Liz Garnett | Available in US and Canada ,Liz Garnett,2,
211689,Happy Together (TTBB) (arr. Wright),TTBB | Arranged by David Wright (formerly #113439) | from the motion picture Follow the Fleet | Available in US and Canada,David Wright,4,
212054,Happy Trails (TTBB) (arr. Bergenstock),"TTBB | Arranged by Ron Bergenstock (formerly #110870) | from the television series The Roy Rogers Show | Available Worldwide (excluding Japan, South Korea, and Taiwan)",Ron Bergenstock,1,
211617,Happy Trails (TTBB) (arr. Gray),"TTBB | Arranged by Don Gray (formerly #204077) | from the television series The Roy Rogers Show | Available Worldwide (excluding Japan, South Korea and Taiwan)",Don Gray,1,
