Song Title|Voicing|Arranger
A Christmas Call To Worship|SSAA|Kay Bromert
A Christmas Carol|SSAA|Dawn Haggerty
A Christmas Love Song|SATB|Joe Mannherz
A Christmas Love Song|SSAA|Patricia Godfrey
A Christmas Night Story|SSAA|Nancy Bergman
A Christmas To Remember|TTBB|Jim Clancy
A Christmas Wish|TTBB|Richard Loebakka
A Cottage for Sale|TTBB|Theo Hicks
A COTTAGE FOR SALE|SSAA|Sharon Holmes
A Couple of Swells|SSAA|Nancy Bergman
A Cover Is Not The Book|TTBB|David Wright
A Cover Is Not The Book|TTBB|Mark Goodney
A Cradle In Bethlehem|TTBB|Nick Bryant
A Cradle Song|SATB|David Avshalomov
A Cup Of Coffee A Sandwich And You|SATB|Larry Wright
A Cup Of Coffee A Sandwich And You|TTBB|Larry Wright
A Cup Of Coffee A Sandwich And You|TTBB|Walter Latzko
A Dance In TripleTime|SSAA|Anastasio Rossi
A Day In The Life|SATB|Anders Lindqvist
A Day Just For You|SSAA|Lois Barrett
A Dream (the Lost Ant)|SATB|David Avshalomov
A Dream Come True|SSAA|Tom Gentry
A Dream Come True|TTBB|Tom Gentry
A Dream is a Wish Your Heart Makes|SSAA|Lorraine Rochefort
A Dream Is A Wish Your Heart Makes|SATB|Larry Triplett
A Dream Is A Wish Your Heart Makes|SSAA|Joe Mannherz
A Dream Is A Wish Your Heart Makes|SSAA|Joey Minshall
A Dream Is A Wish Your Heart Makes|SSAA|Kohl Kitzmiller
A Dream Is A Wish Your Heart Makes|SSAA|Larry Triplett
A Dream Is A Wish Your Heart Makes|SSAA|Lorraine Rochefort Joey Minshall
A Dream Is A Wish Your Heart Makes|SSAA|Tom Gentry
A Dream Is A Wish Your Heart Makes|TTBB|David Wright
A Dream Is A Wish Your Heart Makes|TTBB|Derric Johnson
A Dream Is A Wish Your Heart Makes|TTBB|Gene Cokeroft
A Dream Is A Wish Your Heart Makes|TTBB|Joe Mannherz
A Dream Is A Wish Your Heart Makes|TTBB|Larry Triplett
A Dream Is A Wish Your Heart Makes|TTBB|Tom Gentry
A Drink On The House|TTBB|Soren Detlefsen
A Drop in the Ocean|SATB|Nicholas Wright
A Farewell To Kings|SSAA|Lauren Kahn
A Foggy Day|SSAA|Sylvia Alsbury
A Foggy Day|SSAA|Walter Latzko
A Foggy Day|TTBB|Jim Shubert
A Foggy Day|TTBB|Patrick McAlexander
A Foggy Day|TTBB|Walter Latzko
A Foggy Day In London Town|SSAA|Dede Nibler
A Foggy Day In London Town|TTBB|Bryan Ziegler
A Foggy Night In San Francisco|TTBB|Ted Byrne
A Fool Such As I|SSAA|Aaron Dale
A Fool Such As I|TTBB|Aaron Dale
A Friend of Yours|SSAA|Mary Ann Wydra
A G-Nu|TTBB|Bob Dowma
A Gaelic Blessing|TTBB|Jon Nicholas
A Garden In The Rain|SSAA|David Harrington
A Garden In The Rain|SSAA|Diane Clark
A Garden In The Rain|TTBB|Bud Arberg
A Garden In The Rain|TTBB|David Harrington
A Garden In The Rain|TTBB|Earl Moon
A Garden In The Rain|TTBB|Walter Latzko
A Garland Of Old Fashioned Roses|TTBB|Louis Perry
A Gathering Montage|SSAA|Jay Giallombardo
A Girl Whose Name Begins With 'M'|TTBB|Rob Hopkins
A Good Man Is Hard To Find|SSAA|Floyd Connett
A Good Man Is Hard To Find|SSAA|Walter Latzko
A Good Old Barbershop Song|SSAA|Larry Wright
A Good Old Barbershop Song|TTBB|Burt Szabo
A Good Old Barbershop Song|TTBB|Larry Wright
A Grinch Medley|SSAA|Nancy Bergman
A Groovy Kind of Love|TTBB|Tom Gentry
A Groovy Kind Of Love|SSAA|Tom Gentry
A Hand For Mrs. Claus|SSAA|Erica Kelch-Slesnick
A Hand For Mrs. Claus|SSAA|Simon Arnott
A Hand For Mrs. Claus|TTBB|Erica Kelch-Slesnick
A Handful Of Stars|SSAA|Walter Latzko
A Handful Of Stars|TTBB|Steve Tramack
A Hard Day's Night|TTBB|Jon Nicholas
A Hard Day's Night|TTBB|Liz Garnett
A Hard Days Night|TTBB|Alex Morris
A Hard Days Night|TTBB|Jon Nicholas
A Hard Days Night|TTBB|Liz Garnet
A Hard Days Night|TTBB|Liz Garnett
A Heart Like Thine|SSAA|Rebecca J. Wood
A Holly Jolly Christmas|TTBB|Kirby Shaw
A House Is Not A Home|SATB|Joe Mannherz
A House Is Not A Home|SATB|Larry Triplett
A House Is Not A Home|SSAA|Larry Triplett
A House Is Not A Home|SSAA|Peg Millard
A House Is Not A Home|TTBB|Larry Triplett
A House Is Not A Home|TTBB|Steve Tramack
A House With Love In It|SATB|Joe Mannherz
A Hundred And Sixty Acres|TTBB|Jordan Johnson
A Hundred Years from Now|SSAA|Diane Clark
A Hundred Years From Today|SSAA|Marsha Zwicker
A Hundred Years From Today|TTBB|Walter Latzko
A Jingle Bell Travelogue|SSAA|Kay Bromert
A Kid at Christmas|TTBB|Aaron Dale
A Kid Named Joe|TTBB|David Wright
A Kiss To Build A Dream On|SATB|Kevin Keller
A Kiss To Build A Dream On|SSAA|Kevin Keller
A Kiss To Build A Dream On|TTBB|Brent Graham
A Kiss To Build A Dream On|TTBB|Kevin Keller
A Life That's Good|SATB|Melody Hine
A Life That's Good|SSAA|Melody Hine
A Life That's Good|TTBB|Melody Hine
A Life With You|TTBB|Eric Ruthenberg
A Little Bit O' Heaven|SSAA|Jay Giallombardo
A Little Bit O' Heaven|TTBB|Jay Giallombardo
A Little Bit Of Happiness|TTBB|Unspecified
A Little Bit of Heaven|SSAA|Renee Craig/Joni Bescos
A LITTLE BIT OF HEAVEN|SSAA|Renee Craig and Joni Bescos
A Little Bit of Heaven, Sure They Called It Ireland|TTBB|Steve Jamison
A Little Closer|TTBB|Kevin Koehl
A Little Less Conversation|SSAA|David Wright
A Little Old Lady in Tennis Shoes|SSAA|Mary Coffman
A Little Old Lady In Tennis Shoes|SSAA|Mary K. Coffman Music Fund
A Little Old Lady In Tennis Shoes|SSAA|Tedda Lippincott
A Little Patch Of Heaven|SSAA|Aaron Dale
A Little Patch Of Heaven|TTBB|Aaron Dale
A Little Street Where Old Friends Meet|TTBB|Aaron Dale
A Little Street Where Old Friends Meet|TTBB|Burt Szabo
A Little Street Where Old Friends Meet|TTBB|Rob Hopkins
A Little Street Where Old Friends Meet|TTBB|Sam Breedon
A Little Talk With Jesus|TTBB|Burt Szabo
A Long, Long Time|SSAA|Jay Giallombardo
A Long, Long Time|TTBB|Jay Giallombardo
A Long, Slow Train|TTBB|Jon Nicholas
A Lot of Livin' To Do|SSAA|Joey Minshall
A Lot of Living to Do|SSAA|Joey Minshall
A Love That Will Last|SSAA|Henrik Rosenberg
A Lovely Night|SSAA|Patrick McAlexander
A Lovely Way To Spend An Evening|TTBB|Earl Moon / Ed Waesche
A Lover's Question|TTBB|Jon Nicholas
A Major Chord|SATB|Kevin Koehl
A Man Of Constant Sorrow|TTBB|Aaron Dale
A Marshmallow World|SSAA|Joni Bescos
A Marshmallow World|SSAA|Mary Santomeno
A Marshmallow World|TTBB|Adam Scott
A Marshmallow World|TTBB|Jim Shubert
A Matter of Policy|TTBB|Jeremey Johnson
A Mighty Fortress|SATB|David Wallace
A Mighty Fortress|TTBB|Derric Johnson
A Mighty Fortress|TTBB|Walter Latzko
A Mighty Fortress Is Our God|TTBB|Joe Johnson
A Million Dreams|SATB|Melody Hine
A Million Dreams|SSAA|Kay Bromert
A Million Dreams|SSAA|Kevin Keller
A Million Dreams|SSAA|Melody Hine
A Million Dreams|SSAA|Rowena Harper
A Million Dreams|TTBB|Jeremey Johnson
A Million Dreams|TTBB|Kevin Keller
A Million Dreams|TTBB|Kohl Kitzmiller
A Million Dreams|TTBB|Liz Garnett
A Million Dreams|TTBB|Melody Hine
A Million Dreams|TTBB|Rowena Harper
A Million Dreams|TTBB|Simon Arnott
A Million Dreams (from The Greatest Showman)|TTBB|Kevin Keller
A Million Miles Away|SSAA|Simon Arnott
A Million Miles Away|TTBB|Simon Arnott
A Million to One|TTBB|Jon Nicholas
A Million Ways|TTBB|Kohl Kitzmiller
A Moment Like This|SATB|Joe Mannherz
A Moment Like This|SSAA|Larry Wright
A Musical|TTBB|Dan Wessler
A New Fangled Tango|SATB|Patrick McAlexander
A New Fangled Tango|TTBB|Patrick McAlexander
A New Life|SSAA|Dan Wessler
A New Life|SSAA|Michael Gellert
A New Ode to Joy|SATB|Liz Garnett
A New Ode to Joy|TTBB|Liz Garnett
A New Quartet|TTBB|Joe Liles
A New York Medley In Three Quarter Time|TTBB|Burt Szabo
A Newfangled Tango|TTBB|Patrick McAlexander
A Night Like This|SSAA|Liz Garnett
A Nightingale Sang In Berekely Square|SSAA|Joni Bescos
A Nightingale Sang in Berkeley Square|SSAA|Joni Bescos
A Nightingale Sang In Berkeley Square|SATB|Anders Lindqvist
A Nightingale Sang In Berkeley Square|SATB|Gene Puerling
A Nightingale Sang In Berkeley Square|SATB|Joe Mannherz
A Nightingale Sang In Berkeley Square|SSAA|Ann Minihane
A Nightingale Sang In Berkeley Square|SSAA|David Harrington
A Nightingale Sang In Berkeley Square|SSAA|Larry Wright
A Nightingale Sang In Berkeley Square|SSAA|Takako Fuke
A Nightingale Sang In Berkeley Square|SSAA|Tedda Lippincott
A Nightingale Sang In Berkeley Square|SSAA|Tom Gentry
A Nightingale Sang In Berkeley Square|SSAA|Walter Latzko
A Nightingale Sang In Berkeley Square|TTBB|Anders Lindqvist
A Nightingale Sang In Berkeley Square|TTBB|Brian Beck
A Nightingale Sang In Berkeley Square|TTBB|David Harrington
A Nightingale Sang In Berkeley Square|TTBB|Joe Mannherz
A Nightingale Sang In Berkeley Square|TTBB|John Hohl
A Nightingale Sang In Berkeley Square|TTBB|Kirk Young
A Nightingale Sang In Berkeley Square|TTBB|Larry Wright
A Nightingale Sang In Berkeley Square|TTBB|S. K. Grundy
A Nightingale Sang In Berkeley Square|TTBB|SK Grundy
A Nightingale Sang In Berkeley Square|TTBB|Ted Byers
A Nightingale Sang In Berkeley Square|TTBB|Tom Gentry
A Nightingale Sang In Berkeley Square|TTBB|Walter Latzko
A Nightingale Sang in Berkely Square|SSAA|Tedda Lippincott
A Nightingale Sang In Berkely Square|TTBB|Brian Beck
A Nightingale Sang In Berkely Square|TTBB|Webb Comfort
A Nightingale Sang In Berkley Square|SATB|Gene Puerling
A Nightingale Sang In Berkley Square|SSAA|A Minihane
A Nightingale Sang In Berkley Square|SSAA|Renee Craig
A Piece of Sky|TTBB|Ken Potter
A Pitch Pipe, A Song, and A Smile|TTBB|Val Hicks
A Pitchpipe, A Song, And A Smile|TTBB|Val Hicks
A Place in the Choir|SSAA|Lorraine Rochefort
A Place in the Choir|SSAA|Tom Gentry
A Poison Tree|SATB|David Avshalomov
A Pony Shy Medley|TTBB|Frank Leitnaker
A Prayer For You|TTBB|Richard Loebakka
A Prayer For You|TTBB|Richard Loebbaka
A Pretty Girl Is Like A Melody|TTBB|Robert Meyer
A Pretty Girl Is Like A Melody/With A Song In My Heart Medley|TTBB|Jay Giallombardo
A Pretty Girl Is Like A Melody/With A Song In My Heart Medley(Jay Giallomb|TTBB|Jay Giallombardo
A Quiet Girl|TTBB|Dennis Driscoll
A Quiet Place|SATB|Jerry Rubino
A Quiet Place|SSAA|Tedda Lippincott
A Quiet Place|TTBB|Walter Latzko
A Rainy Night In Rio|TTBB|Kevin Keller
A Red Red Rose|TTBB|David Wright
A Red, Red Rose|TTBB|David Wright
A Ride With Glen Miller (Medley)|TTBB|Paul Davies
A Ring to the Name of Rosie|TTBB|Lloyd Steinkamp
A Room With a View|SSAA|Liz Garnett
A Room With A View|TTBB|Rob Campbell
A Rose And A Prayer|TTBB|Dennis Driscoll
A Shanty in Old Shanty Town|SSAA|Sylvia Alsbury
A Shanty In Old Shanty Town|TTBB|Unspecified
A Shine On Your Shoes|SATB|Melody Hine
A Shine On Your Shoes|SSAA|Aaron Dale
A Shine On Your Shoes|SSAA|Joy McGregor
A Shine On Your Shoes|SSAA|Melody Hine
A Shine On Your Shoes|SSAA|Michael Gellert
A Shine On Your Shoes|SSAA|Nancy Bergman
A Shine On Your Shoes|TTBB|Aaron Dale
A Shine On Your Shoes|TTBB|Don Gray
A Shine On Your Shoes|TTBB|Melody Hine
A Simple Song|TTBB|Aaron Dale
A Sky Full of Stars|SATB|Jon Nicholas
A Sky Full of Stars|SATB|Nicholas Wright
A Soldier's Medley|TTBB|Rex Jamieson
A Son Of The Sea|TTBB|Ed Waesche
A Son Of The Sea|TTBB|SPEBSQSA
A Song For Mary|TTBB|Jay Giallombardo
A Song For The Little Guy|TTBB|David Wright
A Song For You|SATB|Kevin Keller
A Song For You|TTBB|Adam Bock
A Song For You|TTBB|Dan Wessler
A Song For You|TTBB|Kevin Keller
A Song Like Daddy Used To Play|TTBB|Brian Beck
A Song of Friendship|SSAA|Joanne Chambers
A Special Wish|SSAA|Linda Smith
A Spoonful Of Sugar|SSAA|Joe Mannherz
A Spoonful Of Sugar|SSAA|June Dale
A Spoonful Of Sugar|SSAA|Loretta Martin
A Spoonful Of Sugar|TTBB|David Zimmerman
A Spoonful Of Sugar|TTBB|Joe Mannherz
A Spoonful Of Sugar|TTBB|Russ Foris
A Spoonful Of Sugar (from Mary Poppins)|TTBB|David Zimmerman
A Stable Prayer|SSAA|June Berg
A Starry Night|TTBB|Derric Johnson
A Story Of Love|TTBB|Dave Richards
A Straw Hat and a Cane|TTBB|BHS
A Straw Hat And A Cane|SSAA|Connie Kash
A Straw Hat And A Cane|TTBB|Unspecified
A Summer Place|TTBB|Jay Giallombardo
A Sunday Kind of Love|TTBB|Adam Reimnitz
A Sunday Kind Of Love|SSAA|Gene Cokeroft
A Teenager In Love|TTBB|Duane Enders
A Thousand Stars in the Sky|SSAA|Joan D 'Agostino
A Thousand Things|SSAA|Melody Hine
A Thousand Things|TTBB|Adam Scott
A Thousand Things|TTBB|Melody Hine
A Thousand Thoughts Of You|SATB|Larry Triplett
A Thousand Thoughts Of You|SSAA|Larry Triplett
A Thousand Thoughts Of You|SSAA|Tom Gentry
A Thousand Thoughts Of You|TTBB|Larry Triplett
A Thousand Thoughts Of You|TTBB|Tom Gentry
A Thousand Years|SSAA|Carole Prietto
A Thousand Years|SSAA|Deke Sharon
A Thousand Years|SSAA|Henrik Rosenberg
A Thousand Years|SSAA|Nicholas Wright
A Thousand Years|SSAA|Rowena Harper
A Thousand Years|TTBB|Simon Arnott
A Time For Joy|SSAA|Tedda Lippincott
A Time For Love|TTBB|Todd Troutman
A Time For Us (Love Theme from Romeo and Juliet)|SSAA|Nancy Bergman
A Tisket A Tasket|SSAA|Greg Volk
A Town In Old New Hampshire|TTBB|Roger Payne
A Tree in the Meadow|SSAA|Ann Minihane
A Tree in the Meadow|SSAA|Kay Bromert
A Tree in the Meadow|SSAA|Ken Potter
A Tree in the Meadow|SSAA|Ruby Rhea
A Tree in the Meadow|TTBB|Todd Troutman
A Tree In The Meadow|SSAA|Jay Giallombardo
A Tree In The Meadow|TTBB|Jay Giallombardo
A Tribute To The King|TTBB|Marty Israel
A Tribute to World Peace|SSAA|Jay Giallombardo
A Tribute to World Peace|TTBB|Jay Giallombardo
A View To A Kill|TTBB|Anders Lindqvist
A Whale Of A Tale|TTBB|Jay Giallombardo
A Whale Of A Tale|TTBB|Jim West
A Whole New World|SATB|Theodore Hicks
A Whole New World|SSAA|David Wright
A Whole New World|SSAA|Joey Minshall
A Whole New World|SSAA|Kevin Keller
A Whole New World|SSAA|Larry Wright
A Whole New World|SSAA|Tedda Lippincott
A Whole New World|SSAA|Tom Gentry
A Whole New World|TTBB|Aaron Dale
A Whole New World|TTBB|David Gillingham
A Whole New World|TTBB|Derric Johnson
A Whole New World|TTBB|Kevin Keller
A Whole New World|TTBB|Larry Wright
A Whole New World|TTBB|Tom Gentry
A Wink and a Smile|TTBB|Steve Jamison
A Wink and A Smile|SSAA|Dave Briner
A Wink And A Smile|SATB|Kim Brittain
A Wink And A Smile|SSAA|David Briner
A Wink And A Smile|SSAA|Jan Meyer
A Wink And A Smile|SSAA|Kim Brittain
A Wink And A Smile|SSAA|Michael Gellert
A Wink And A Smile|TTBB|Kim Brittain
A Wink And A Smile|TTBB|Robert Rund
A Wink And A Smile|TTBB|Simon Arnott
A Wink And A Smile (from Sleepless In Seattle)|TTBB|Robert Rund
A Winter's Tale|SSAA|Hilary Allen
A Wish|TTBB|Robert Rund
A Woman Like You|TTBB|Larry Triplett
A Wonderful Day Like Today|SSAA|Tedda Lippincott
A Wonderful Day Like Today|TTBB|Dick Floersheimer
A Wonderful Day Like Today|TTBB|Rob Hopkins
A Wonderful Day Medley|SSAA|Joey Minshall
A Wonderful Time Up There|TTBB|Kay Brooks
A World Alone|SATB|Nicholas Wright
A World Of Your Own|SSAA|Sam Hubbard
A Year Without A Santa Claus|TTBB|Mark Hale
A-Tisket A-Tasket|SSAA|David Harrington
A, You're Adorable|SSAA|Walter Latzko
A, You're Adorable|TTBB|Dan Wessler
A, You're Adorable|TTBB|Dennis Driscoll
A, You're Adorable|TTBB|Jim Shubert
A, You're Adorable|TTBB|Tom Gentry
A, You're Adorable|TTBB|Walter Latzko
Aba Daba Honeymoon|SSAA|Nancy Bergman
Aba Daba Honeymoon|TTBB|Mark Goodney
Aba Daba Honeymoon|TTBB|Walter Latzko
Abba Medley|SSAA|Joe Spiecker
ABBA Medley|SSAA|Brian Beck
ABBA Medley|SSAA|Dan Naumann
ABBA Medley|SSAA|Debbie Hopkinson
ABBA Medley|SSAA|Larry Wright
ABBA Medley|TTBB|Dan Naumann
ABBA Medley|TTBB|Larry Wright
ABC|SATB|David Wright
ABC|SATB|Deke Sharon
ABC|SSAA|David Wright
ABC|SSAA|Glenda Lloyd
ABC|SSAA|Larry Wright
ABC|TTBB|David Wright
Abide with Me|TTBB|Ig Jakovac
Abide With Me|SSAA|Walter Latzko
Abide With Me|TTBB|Adam Scott
Abide With Me|TTBB|Dennis Driscoll
Abide With Me|TTBB|Joe Liles
Abide With Me|TTBB|Walter Latzko
Abilene|TTBB|G.E. Howe
Abilene|TTBB|Mason Eubank
Abilene|TTBB|Todd Troutman
About A Quarter To Nine|TTBB|Eugene McHugh
About A Quarter To Nine|TTBB|Walter Latzko
About Damn Time|SATB|Nicholas Wright
Above My Head, I Hear Music In The Air|SATB|David Wright
Above My Head, I Hear Music In The Air|TTBB|David Wright
Above the Northern Lights|SSAA|Kay Bromert
Abraham, Martin, and John|SSAA|Kay Bromert
Absolutely Everybody|SATB|Alex Morris
Absolutely Everybody|SSAA|Alex Morris
Absolutely Everybody|SSAA|Glenda Lloyd
Ac-cent-chu-ate the Positive|TTBB|Jim West
Ac-cent-tch-uate the Positive|TTBB|Buzz Haeger
Ac-cent-tchu-ate The Positive|SSAA|Diana DeBruycker
Ac-cent-tchu-ate The Positive|SSAA|Tedda Lippincott
Ac-cent-tchu-ate The Positive|SSAA|Tom Gentry
Ac-cent-tchu-ate The Positive|TTBB|Buzz Haeger
Ac-cent-tchu-ate The Positive|TTBB|Jeremey Johnson
Ac-cent-tchu-ate The Positive|TTBB|Jim Shubert
Ac-cent-tchu-ate The Positive|TTBB|Jim West
Ac-cent-tchu-ate The Positive|TTBB|Marilyn Penketh
Ac-cent-tchu-ate The Positive|TTBB|Tom Gentry
Ac-cent-tchu-ate The Positive|TTBB|Walter Latzko
Ac-cent-tchu-ate The Positive|TTBB|Warren 'Buzz' Haeger
Accentchuate The Positive|TTBB|Buzz Haeger
Accentuate the Positive|TTBB|Adam Reimnitz
Accentuate the Positive|TTBB|Clay Hine
Accident Waiting To Happen|SSAA|Kyle Snook
